SecFrom20170901	location	place	none
844578	1	4	75
844577	0	2	80
844576	1	4	83
844575	0	2	83
844574	1	5	83
844573	2	4	92
844572	1	6	74
844571	0	8	82
844570	0	5	81
844569	1	6	73
844568	0	8	71
844567	1	6	83
844566	1	6	69
844565	1	4	81
844564	1	6	78
844563	0	8	82
844562	1	4	90
844561	0	6	79
844560	1	10	81
844559	1	4	70
844558	0	5	73
844557	3	5	85
844556	0	14	66
844555	0	6	80
844554	0	8	85
844553	1	13	62
844552	0	8	87
844551	0	6	84
844550	1	8	78
844549	0	2	74
844548	0	6	75
844547	0	3	80
844546	0	3	76
844545	1	2	75
844544	0	7	92
844543	1	7	62
844542	0	10	78
844541	1	3	96
844540	0	4	76
844539	0	3	87
844538	0	5	80
844537	0	2	78
844536	0	4	70
844535	1	2	72
844534	0	8	78
844533	1	5	84
844532	1	7	77
844531	1	3	67
844530	0	4	77
844529	1	7	65
844528	2	7	79
844527	0	5	78
844526	3	5	68
844525	0	8	69
844524	0	7	70
844523	2	5	81
844522	1	1	58
844521	1	8	64
844520	1	5	92
844519	1	4	68
844518	1	6	72
844517	1	6	72
844516	0	4	93
844515	1	2	64
844514	0	5	75
844513	1	3	88
844512	0	5	65
844511	0	7	71
844510	0	5	87
844509	0	6	74
844508	3	6	88
844507	1	4	89
844506	1	3	99
844505	1	15	95
844504	1	10	91
844503	1	5	114
844502	0	3	80
844501	0	6	84
844500	0	5	88
844499	2	8	60
844498	0	1	76
844497	1	11	68
844496	0	4	81
844495	0	7	84
844494	0	2	59
844493	0	6	79
844492	0	5	78
844491	0	7	80
844490	0	6	83
844489	1	5	68
844488	1	6	76
844487	0	8	78
844486	0	2	65
844485	0	5	83
844484	2	6	88
844483	0	1	71
844482	0	4	76
844481	1	7	78
844480	2	2	78
844479	0	2	87
844478	1	5	76
844477	0	5	88
844476	0	8	62
844475	0	6	63
844474	1	6	77
844473	0	5	81
844472	1	3	74
844471	0	4	80
844470	1	12	92
844469	0	12	87
844468	0	5	63
844467	1	5	77
844466	0	4	98
844465	0	5	89
844464	0	4	68
844463	1	7	78
844462	0	3	74
844461	1	0	77
844460	0	7	75
844459	0	5	82
844458	0	10	77
844457	1	5	86
844456	0	3	68
844455	1	8	71
844454	2	6	86
844453	0	11	92
844452	0	8	75
844451	0	4	89
844450	0	6	71
844449	0	6	99
844448	1	1	69
844447	0	8	83
844446	1	2	82
844445	0	5	88
844444	0	6	90
844443	0	2	83
844442	2	5	80
844441	0	4	90
844440	0	5	91
844439	0	7	80
844438	1	1	88
844437	2	1	81
844436	0	5	79
844435	1	7	67
844434	0	6	90
844433	2	7	79
844432	0	8	65
844431	0	3	91
844430	0	6	94
844429	1	7	74
844428	0	6	80
844427	0	6	96
844426	2	7	63
844425	0	5	81
844424	0	8	96
844423	1	6	79
844422	0	10	90
844421	1	3	78
844420	1	7	82
844419	0	5	75
844418	0	9	69
844417	0	6	72
844416	0	9	76
844415	1	3	83
844414	0	6	73
844413	0	4	71
844412	0	2	71
844411	1	6	88
844410	1	4	78
844409	0	6	75
844408	0	7	104
844407	1	9	89
844406	0	3	77
844405	0	5	76
844404	1	2	85
844403	1	3	81
844402	0	5	77
844401	2	3	81
844400	1	4	71
844399	1	8	96
844398	0	6	86
844397	1	6	77
844396	1	6	90
844395	0	6	90
844394	2	4	88
844393	0	5	78
844392	1	7	75
844391	0	6	84
844390	0	5	94
844389	1	9	78
844388	0	5	89
844387	0	5	82
844386	0	6	95
844385	1	8	74
844384	0	6	83
844383	1	7	93
844382	0	8	84
844381	1	8	80
844380	0	6	90
844379	0	3	85
844378	0	7	73
844377	1	6	79
844376	0	4	90
844375	1	2	75
844374	1	5	88
844373	0	2	70
844372	0	1	93
844371	2	5	82
844370	0	8	75
844369	0	4	101
844368	1	6	79
844367	0	6	84
844366	0	4	73
844365	0	9	73
844364	1	7	89
844363	0	7	90
844362	0	6	73
844361	0	6	115
844360	1	5	85
844359	1	4	80
844358	1	10	75
844357	0	6	88
844356	0	7	62
844355	1	8	105
844354	0	6	76
844353	0	4	87
844352	1	10	76
844351	2	4	99
844350	1	5	56
844349	0	3	79
844348	0	3	76
844347	0	7	84
844346	0	8	90
844345	0	8	84
844344	0	9	90
844343	0	4	90
844342	0	7	81
844341	0	6	78
844340	0	4	85
